"Iter.","Eval.","Best","Time m:s"
0,8,2.79893902994727569e+03,0.10043240999948466
1,16,2.25877159938910381e+03,0.11914153500038083
2,25,1.57263490322303937e+03,0.14015153199943597
3,35,1.17438977566057429e+03,0.1556087530007062
20,147,3.20634888586687907e+02,0.3270505129985395
40,266,2.98225037518970623e+02,0.5017870150004455
60,413,2.36509456589469892e+02,0.7010397060003015
80,554,1.43223204415854156e+02,0.8925327069991909
100,663,3.02486289261773003e+01,1.0699419880002097
120,789,2.74675065240702043e+00,1.335441153998545
140,918,1.32353072949279205e+00,1.5231181380004273
160,1079,8.07005060127540252e-01,1.7373612320006941
180,1265,7.18066298963082605e-01,1.9504915200013784
200,1433,6.33918100620911029e-01,2.1540844299997843
220,1593,6.02683191998365730e-01,2.3598108469996077
240,1781,5.86368745527111823e-01,2.583699663999141
260,1979,5.77484700505048743e-01,2.9666654909997305
280,2169,5.24571938040686803e-01,3.3417242559989973
300,2363,4.90058326844102221e-01,3.577084037999157
320,2531,4.64757854615525212e-01,3.783908828001586
340,2704,4.61948468619673536e-01,3.9907042640006694
360,2888,4.60443589158117006e-01,4.240022712998325
380,3086,4.59588752209299622e-01,4.499936076001177
400,3286,4.50544786375086215e-01,4.777632111999992
420,3485,3.11604284023091038e-01,5.07297077000112
440,3684,2.87664448152488650e-01,5.349087091999536
460,3884,2.84790757689853513e-01,5.739919794999878
480,4084,2.84604338847031513e-01,6.069938480999554
500,4284,2.84602003780997870e-01,6.501209818001371
520,4484,2.84601909053727675e-01,6.798676976999559
540,4684,2.84601906214648870e-01,7.104518280000775
560,4884,2.84601906173608254e-01,7.330456806001166
580,5084,2.84601906172381680e-01,7.554501780999999
600,5284,2.84601906172361363e-01,7.789379304998874
620,5484,2.84601906172360808e-01,8.127439692001644
640,5684,2.84601906172360697e-01,8.486876558999938
660,5884,2.84601906172360697e-01,8.920385158999125
680,6084,2.84601906172360697e-01,9.402038057000027
700,6284,2.84601906172360697e-01,9.878996030998678
720,6484,2.84601906172360697e-01,10.164417908999894
740,6684,2.84601906172360697e-01,10.422472786998696
744,6714,2.84601906172360697e-01,10.474903564998385
