"Iter.","Eval.","Best","Time m:s"
0,2,1.76495065729291537e+03,2.779012018814683
1,4,1.76495065729291537e+03,5.363498000428081
2,8,6.51302711654038831e+02,8.372108027338982
3,13,6.51302711654038831e+02,11.046221770346165
20,134,3.35918717937288932e+02,133.4753067344427
40,284,2.47042898022228087e+02,288.5544719658792
60,479,5.36129763330634788e+01,470.265001995489
80,669,9.56094332533890245e+00,596.7130341120064
100,854,1.65984091664499545e+00,702.4764997791499
120,1054,1.36562138941091216e+00,782.5823850296438
140,1242,1.15920593193460397e+00,864.3044560775161
160,1439,1.05163983390338567e+00,953.18803451024
180,1580,1.02692043199932659e+00,1019.8141247350723
200,1749,1.01512858074844914e+00,1101.5751987807453
220,1928,1.00907300474202066e+00,1183.9247045163065
240,2070,1.00323268874315663e+00,1264.664678800851
260,2230,1.00050785452591784e+00,1352.0194228161126
280,2407,9.93238843654478565e-01,1443.087315550074
300,2602,9.76218684470842035e-01,1536.4814488124102
320,2802,9.72209695453807976e-01,1631.6267813444138
340,3002,9.40248442234599802e-01,1719.6189608778805
360,3200,9.40248442234599802e-01,1801.7436519842595
380,3365,9.40248442234599802e-01,1883.0668453183025
400,3541,9.40248442234599802e-01,1968.2264198847115
420,3733,9.40248442234599802e-01,2054.8483922760934
440,3930,9.40248442234599802e-01,2147.79652431421
460,4130,9.40248442234599802e-01,2239.895596237853
480,4330,9.40248442234599802e-01,2335.461646588519
500,4530,9.40248442234599802e-01,2428.5123067200184
520,4729,9.40248442234599802e-01,2521.819115864113
522,4739,9.40248442234599802e-01,2526.229160292074
