"Iter.","Eval.","Best","Time m:s"
0,9,6.86122681860877748e+00,6.634171130135655
1,19,6.11314199343060238e+00,13.514891907572746
2,29,6.11314199343060238e+00,21.219278251752257
3,39,6.11314199343060238e+00,29.212646523490548
20,206,5.48351028487367831e+00,139.85708879120648
40,396,5.24843030097342922e+00,261.73520667664707
60,587,5.23212811003117828e+00,370.3255595806986
80,786,5.00542163458035638e+00,467.860990377143
100,986,4.94981221608091815e+00,564.0994184855372
120,1186,4.94981221608091815e+00,651.0526826418936
140,1381,4.91629196662919465e+00,743.5084005706012
160,1577,4.87301636656341586e+00,835.152482714504
180,1771,4.83140535474114508e+00,923.5421213526279
200,1966,4.81965968679740175e+00,1019.7694604285061
220,2148,4.66425481691430210e+00,1107.7380201835185
240,2315,3.96455251400305109e+00,1189.5853149741888
260,2458,3.72215743492029771e+00,1257.3180696442723
280,2614,3.53899923154202245e+00,1325.791852068156
300,2767,3.30781331229143172e+00,1394.4690875522792
320,2885,2.70607683856166092e+00,1457.666417406872
340,3014,1.67589861899470738e+00,1528.6621351968497
360,3159,1.36745272301405563e+00,1617.8414487615228
380,3325,1.31064433920731616e+00,1718.571436855942
400,3483,1.27395495495729971e+00,1851.4812765084207
420,3626,1.26680076186925650e+00,1974.4470087513328
440,3783,1.25710676679241184e+00,2109.550876719877
460,3956,1.25086660943711192e+00,2248.5203660000116
480,4134,1.24774213617642449e+00,2387.197385262698
500,4308,1.24686864185619339e+00,2518.230818318203
520,4493,1.24686864185619339e+00,2647.7189193591475
540,4678,1.24538010333817839e+00,2789.292251976207
560,4876,1.24215754231442599e+00,2919.63431612961
580,5076,1.24149020677389776e+00,3054.5444475281984
600,5276,1.24081365554875345e+00,3185.075784806162
620,5474,1.23949489024182347e+00,3291.381857909262
640,5674,1.23851228930592172e+00,3412.6753632202744
660,5874,1.23851228930592172e+00,3543.3470362499356
680,6074,1.23851228930592172e+00,3652.1574130225927
700,6274,1.23851228930592172e+00,3778.881220528856
720,6474,1.23851228930592172e+00,3899.5248201154172
740,6674,1.23851228930592172e+00,4027.0354456361383
760,6874,1.23851228930592172e+00,4152.531947728246
780,7074,1.23851228930592172e+00,4278.618384309113
800,7274,1.23851228930592172e+00,4409.506091903895
820,7474,1.23851228930592172e+00,4557.1718175355345
835,7614,1.23851228930592172e+00,4673.139819597825
