"Iter.","Eval.","Best","Time m:s"
0,10,4.99854621554562006e-01,3.159841228276491
1,20,4.78649666790085915e-01,6.037267999723554
2,30,4.72118267465518660e-01,9.098133062943816
3,40,4.27733317061011642e-01,11.82064729463309
20,210,3.60143511194697175e-01,60.23393611703068
40,410,3.49378875146904633e-01,119.73310774937272
60,610,3.47255626253384742e-01,179.13212978187948
80,810,3.43339617028927846e-01,239.34049757383764
100,1010,3.28099424054215161e-01,299.9460029518232
120,1210,2.96958094427968278e-01,360.48256155848503
140,1410,2.88369453856070823e-01,417.3237155433744
160,1610,2.81347835952016623e-01,473.65191325731575
180,1810,2.47620267626800172e-01,531.2618783898652
200,2010,2.08851062149620126e-01,585.3221633452922
220,2210,2.00968793026270742e-01,636.3191784899682
240,2410,1.85880441076226866e-01,688.2019683839753
260,2610,1.84306892667994215e-01,739.8461113562807
280,2810,1.84039697279288011e-01,790.7089894236997
300,3010,1.83656401839033145e-01,844.0727447532117
320,3210,1.83025255854327301e-01,898.2852640133351
340,3410,1.82789669918803993e-01,948.030615775846
360,3610,1.82785138935475766e-01,995.6500369682908
380,3810,1.82784903946433125e-01,1044.2570364233106
400,4010,1.82784899734548839e-01,1091.3050279226154
420,4210,1.82784899627887576e-01,1139.1374066155404
440,4410,1.82784899620089786e-01,1186.7864365549758
460,4610,1.82784899616038582e-01,1236.4062864426523
480,4810,1.82784899616038582e-01,1286.7509501110762
500,5010,1.82784899616038582e-01,1336.683468556963
520,5210,1.82784899616038582e-01,1384.8280157446861
540,5410,1.82784899616038582e-01,1434.7062638513744
560,5610,1.82784899616038582e-01,1484.4211913580075
580,5810,1.82784899616038582e-01,1532.3696131939068
600,6010,1.82784899616038582e-01,1580.5450642881915
620,6200,1.82784899616038582e-01,1627.7508534844965
