"Iter.","Eval.","Best","Time m:s"
0,10,2.49678770211161416e-01,1.3890995532274246
1,20,2.49678765743827025e-01,2.7051121294498444
2,30,2.49678761056865567e-01,3.846789911389351
3,40,2.49678750880550471e-01,4.9856227822601795
20,210,2.49678069130757962e-01,25.809320028871298
40,410,2.49551353392541697e-01,49.88959902524948
60,556,2.48282645748223285e-01,69.7707484178245
80,755,2.47130852557821107e-01,98.78751244954765
100,917,1.94425725605294836e-01,126.83556934818625
120,1100,1.94344081349094311e-01,157.2367515899241
140,1289,1.94092727524700248e-01,189.6446081213653
160,1488,1.93974456509390464e-01,219.4646487403661
180,1668,1.93743953340066721e-01,249.78086018003523
200,1843,1.93496965798551052e-01,280.5076219011098
220,2036,1.93300769601688349e-01,311.95951171033084
240,2203,1.93254138379832269e-01,342.53481750562787
260,2365,1.93213996252326298e-01,368.20552184805274
280,2521,1.93152666970783315e-01,392.2544765174389
300,2677,1.92929621917910576e-01,416.37289343215525
320,2825,1.91092484983621969e-01,436.7642375305295
340,2981,1.91092484983621969e-01,459.5624906271696
360,3174,1.91092484983621969e-01,482.83629310131073
380,3356,1.90920807604836651e-01,505.15628784894943
400,3528,1.90827987576180830e-01,526.7367824055254
420,3711,1.90700928064883979e-01,550.3581773340702
440,3881,1.90064200526901511e-01,571.8756271805614
460,4046,1.89274040481017702e-01,593.6588500086218
480,4205,1.88884922607005401e-01,616.1860857307911
500,4335,1.88519935197540928e-01,636.7378104459494
520,4474,1.87363596073226141e-01,657.42202475667
540,4619,1.84796469129468399e-01,680.0308754052967
560,4766,1.83049525332262042e-01,702.51165394485
580,4921,1.81679882495330264e-01,725.8970099445432
600,5055,1.81300759681653323e-01,747.4144577551633
620,5192,1.81089781343395428e-01,770.7858386728913
640,5301,1.81048565237667103e-01,789.8031952306628
660,5434,1.80974247172459246e-01,810.8161271270365
680,5580,1.80905181568332185e-01,832.9927659258246
700,5716,1.80759597263963012e-01,853.0504926014692
720,5862,1.79917930031520457e-01,874.8868830800056
740,6008,1.74187969206186233e-01,896.5829472392797
760,6156,1.68238199623978790e-01,919.3522205073386
780,6325,1.55856692268957681e-01,942.9657276254147
800,6473,1.35192527417054065e-01,964.8209833540022
820,6632,9.84654331620836987e-02,987.7191239744425
840,6799,8.49552961753054781e-02,1010.8630151450634
860,6994,8.14273584259212063e-02,1036.2703088000417
880,7194,8.10963832129671658e-02,1060.3968520015478
900,7390,7.85362313339393603e-02,1086.0716822836548
920,7559,6.61231572391069999e-02,1108.8740825857967
940,7754,4.48854848025274367e-02,1131.0218711830676
960,7954,4.28765582260735301e-02,1155.4761306717992
980,8154,4.16013364727520346e-02,1177.6311828326434
1000,8354,4.01685775784264079e-02,1201.0242333486676
1020,8554,3.96267724669634933e-02,1225.1558777857572
1040,8754,3.94697525640309022e-02,1249.903602598235
1060,8954,3.94450295768030285e-02,1275.7937779631466
1080,9154,3.94435939866869811e-02,1301.4075002353638
1100,9354,3.94435225895228350e-02,1328.1360789518803
1120,9554,3.94435210018039065e-02,1354.9915977939963
1140,9754,3.94435209526204297e-02,1382.1370681654662
1160,9954,3.94435209511459772e-02,1408.9442541152239
1180,10154,3.94435209510993201e-02,1437.2806347180158
1200,10354,3.94435209510985152e-02,1464.8435800932348
1220,10554,3.94435209510984736e-02,1493.325008943677
1240,10754,3.94435209510984736e-02,1520.5307253506035
1260,10954,3.94435209510984597e-02,1546.6217618994415
1280,11154,3.94435209510984597e-02,1573.4944578763098
1300,11354,3.94435209510984597e-02,1600.5737584717572
1320,11554,3.94435209510984597e-02,1629.1977371368557
1327,11614,3.94435209510984597e-02,1637.1429561562836
