"Iter.","Eval.","Best","Time m:s"
0,10,2.37815762893505145e-01,1.5968656186014414
1,18,2.37503787400716426e-01,2.7965889871120453
2,28,2.36753640767687207e-01,3.7846736777573824
3,36,2.36145333459831214e-01,4.759314328432083
20,165,2.15367403597085116e-01,23.037989977747202
40,355,2.13404528147147859e-01,48.94075826369226
60,554,2.04915107911863181e-01,73.69255754165351
80,746,2.00387148519154429e-01,99.50577756017447
100,921,1.69723940377380089e-01,122.2475241869688
120,1089,1.40176983705235875e-01,146.1503256522119
140,1265,9.36773827880839904e-02,170.74270559847355
160,1442,7.26156843513228734e-02,195.4498075209558
180,1642,6.20123340453034994e-02,220.67721663601696
200,1842,5.82918701299507264e-02,245.70460415259004
220,2024,4.73412640092935738e-02,268.6101494859904
240,2213,4.08082850525378141e-02,294.2634476311505
260,2407,3.87581898910211442e-02,319.3061792925
280,2607,3.86024920896539323e-02,344.26463373564184
300,2807,3.85951784514437998e-02,367.9015152864158
320,3007,3.85949089745348736e-02,391.5081770699471
340,3207,3.85949038589954510e-02,414.727736517787
360,3407,3.85949037296271988e-02,437.11556014977396
380,3607,3.85949037276651988e-02,463.48154048249125
400,3807,3.85949037275894608e-02,487.4283341281116
420,4007,3.85949037275873028e-02,510.7360238842666
440,4207,3.85949037275872334e-02,536.285389918834
460,4407,3.85949037275872264e-02,560.1097593326122
480,4607,3.85949037275872264e-02,584.7858255337924
500,4807,3.85949037275872264e-02,608.1336805000901
520,5007,3.85949037275872264e-02,632.1320465896279
540,5207,3.85949037275872264e-02,657.3048058059067
553,5327,3.85949037275872264e-02,671.7716640867293
