"Iter.","Eval.","Best","Time m:s"
0,9,1.74389922717229062e+00,1.6028126459859777
1,18,1.55207711400814619e+00,3.0627180769806728
2,26,1.50463406049394410e+00,4.0552314189844765
3,36,1.33016499944915001e+00,5.210974652000004
20,159,4.86712269996457558e-01,19.57250214400119
40,279,4.05557219753050258e-01,37.163155378977535
60,408,3.93583360942834859e-01,54.1403447430057
80,537,3.90842311237426854e-01,72.43251121899812
100,674,3.89401214434636267e-01,91.42256949900184
120,808,3.80768579225150339e-01,109.72014405799564
140,930,3.42863917327755674e-01,127.38808517699363
160,1041,3.36911359373340269e-01,143.89399382798
180,1178,3.20509511275227699e-01,161.27045929298038
200,1304,3.12367535998989587e-01,178.98365441997885
220,1428,2.93232478651145045e-01,192.16896892798832
240,1546,2.40787914587455021e-01,204.7974944479938
260,1695,1.78144732341613710e-01,220.91747733400553
280,1869,1.65195196389840260e-01,238.9501140039938
300,2052,1.64677487338784567e-01,256.5249920799979
320,2252,1.60190809645099935e-01,273.1385020969901
340,2452,1.59398823462949590e-01,289.87861245000386
360,2640,1.58835431604064214e-01,307.62682853400474
380,2796,1.58600705294350885e-01,324.5042766389961
400,2948,1.58482524119710894e-01,339.6339951719856
420,3106,1.58248613089963575e-01,355.995467175002
440,3276,1.55153256291261976e-01,374.78921120098676
460,3454,1.27268862098345759e-01,394.6549746009987
480,3613,1.23775456552789653e-01,414.1679325439909
500,3787,1.21421674592675152e-01,434.8864042039786
520,3980,1.18936675258703828e-01,454.43783939100103
540,4179,1.04740550106253286e-01,476.05989340899396
560,4379,9.58285370713888168e-02,496.66934476498864
580,4579,9.44805270426478383e-02,515.7069925550022
600,4779,9.42705747227944729e-02,537.487388487003
620,4979,9.17644390687210321e-02,559.715752196993
640,5179,7.96123841220133105e-02,581.8510897539963
660,5377,7.19070177173812830e-02,600.8394833740022
680,5575,6.98384221527559995e-02,621.2080727579887
700,5775,6.90834170723581553e-02,642.5810995920037
720,5975,6.85780911515581348e-02,662.9349244110053
740,6175,6.84774974135382991e-02,683.3562447459844
760,6375,6.84010271788180052e-02,701.997314962995
780,6575,6.83668085455742258e-02,718.472703174979
800,6775,6.83644142825189788e-02,733.1169970299816
820,6975,6.83642871410489184e-02,749.5308384489908
840,7175,6.83642824030345764e-02,763.8557835459942
860,7375,6.83642823239070940e-02,779.5537829609821
880,7575,6.83642823225967672e-02,796.7653606740059
900,7775,6.83642823225742990e-02,816.2198683559836
920,7975,6.83642823225733415e-02,835.7578990930051
940,8175,6.83642823225732582e-02,854.0249349609949
960,8375,6.83642823225732582e-02,872.441797078005
980,8575,6.83642823225732443e-02,890.2514546839811
1000,8775,6.83642823225732443e-02,906.9246086009953
1020,8975,6.83642823225732443e-02,924.1342183599772
1040,9175,6.83642823225732443e-02,941.9239517340029
1042,9185,6.83642823225732443e-02,943.0553298549785
