"Iter.","Eval.","Best","Time m:s"
0,10,7.12076938591977571e-02,0.27571117877960205
1,20,7.12076851353306978e-02,0.47921739891171455
2,30,7.12076830332686733e-02,0.6483682412654161
3,40,7.12076753175651667e-02,0.8136696573346853
20,209,7.12052320954932871e-02,3.603518532589078
40,382,7.11701966726370761e-02,6.6433892250061035
60,505,7.11285880891378147e-02,9.679104218259454
80,643,7.11110634036304229e-02,12.636061772704124
100,776,7.08993275102098724e-02,15.494874643161893
120,910,7.03634722053622513e-02,18.52802899107337
140,1033,7.02482345741616138e-02,21.711163925006986
160,1156,7.02015687089917045e-02,24.728886479511857
180,1271,7.01245801409280667e-02,27.61615538224578
200,1400,6.94810076818148104e-02,30.26059189811349
220,1522,6.94201598920630852e-02,33.017715353518724
240,1636,6.93863018479005111e-02,36.074547624215484
260,1756,6.93619377776019397e-02,39.17571223527193
280,1866,6.93085237181382263e-02,42.14064192213118
300,1983,6.90639224985997724e-02,45.111326802521944
320,2111,6.87949422809625705e-02,47.818967977538705
340,2238,6.77557517525609193e-02,50.76684348285198
360,2365,5.21678225296455869e-02,53.65846101380885
380,2526,3.25614857150576253e-02,56.725935876369476
400,2716,2.23502925574756740e-02,59.854176906868815
420,2909,2.02425269698770609e-02,62.94197201542556
440,3108,1.69931043669658104e-02,65.98617475107312
460,3308,1.58716045837736693e-02,69.23648301325738
480,3508,1.52155324913673465e-02,72.37139963917434
500,3707,1.35913450782580315e-02,75.50733604095876
520,3907,1.31141671498404121e-02,78.6636127345264
540,4107,1.24211058235277651e-02,81.86020262911916
560,4307,1.14000158694678617e-02,84.95357911847532
580,4507,8.68066028014442131e-03,88.09219908714294
600,4707,6.37630254108013245e-03,91.27358485944569
620,4907,5.99589056704651156e-03,94.49750757589936
640,5107,5.91239474547469029e-03,98.12733447924256
660,5307,5.87063782196624567e-03,101.44865610077977
680,5507,5.84798942562104237e-03,104.64020022563636
700,5707,5.84447583855118597e-03,108.0492286272347
720,5907,5.84424891416939797e-03,111.3176396433264
740,6107,5.84422507661190409e-03,114.54351305030286
760,6307,5.84422427507886623e-03,117.8196703903377
780,6507,5.84422427361178283e-03,121.06725046224892
800,6707,5.84422427361178283e-03,124.54662876576185
820,6907,5.84422420539379428e-03,127.87356868572533
840,7107,5.84422420539379428e-03,131.09060259349644
860,7307,5.84422420432220875e-03,134.36431564763188
880,7507,5.84422420432220875e-03,137.61004965007305
900,7707,5.84422420432220875e-03,140.98314222320914
920,7907,5.84422420432220875e-03,144.61185518093407
940,8107,5.84422420432220875e-03,147.78476233407855
960,8307,5.84422418503334658e-03,150.95026592724025
980,8507,5.84422418503334658e-03,154.18064464256167
1000,8707,5.84422418503334658e-03,157.26567020453513
1020,8907,5.84422418503334658e-03,160.4122731294483
1040,9107,5.84422418503334658e-03,163.4635740071535
1060,9307,5.84422418503334658e-03,166.7218670733273
1080,9507,5.84422418503334658e-03,169.84639855846763
1100,9707,5.84422418503334658e-03,173.0459341239184
1120,9907,5.84422418503334658e-03,176.24028362706304
1140,10107,5.84422418503334658e-03,179.97861933894455
1150,10197,5.84422418503334658e-03,181.48576609790325
