"Iter.","Eval.","Best","Time m:s"
0,10,7.52274811652349329e-01,0.2469408232718706
1,20,7.51226096799258114e-01,0.4298850707709789
2,30,7.51118537441865408e-01,0.5921286474913359
3,40,7.49582217928395855e-01,0.7973902318626642
20,198,6.52187254062562172e-01,3.4952263087034225
40,325,6.21017081970368534e-01,6.567724760621786
60,466,6.13842286668070947e-01,9.640543451532722
80,603,5.76338828119798086e-01,12.690705681219697
100,705,4.53362586864712869e-01,15.576270351186395
120,836,1.38689427782723168e-01,18.57497944869101
140,949,5.47827605133162920e-02,21.542516687884927
160,1093,5.38122241392944498e-02,24.767224490642548
180,1233,5.37879137726038070e-02,27.827376320958138
200,1381,5.37709077450040929e-02,30.932360470294952
220,1511,5.37595294222530176e-02,33.92334017716348
240,1626,5.37563142383227568e-02,36.787475341930985
260,1758,5.37514380528938476e-02,40.059226118028164
280,1888,5.37408043389690851e-02,43.31549887917936
300,2014,5.37380476224351075e-02,46.47732760757208
320,2138,5.37379434391834568e-02,49.45104566030204
340,2269,5.37375735068030547e-02,52.443729331716895
360,2402,5.37374468487189019e-02,55.36805266328156
380,2537,5.37373775283407837e-02,58.266347367316484
400,2645,5.37372705744588244e-02,61.17373694293201
420,2768,5.37370993148106393e-02,64.1158847566694
440,2894,5.37362430377473707e-02,67.43758339621127
460,3008,5.37342478209023588e-02,70.34639397636056
480,3173,5.37340650386247468e-02,73.52958243899047
500,3346,5.37338416670355631e-02,76.70857958868146
520,3516,5.37328763541365800e-02,79.91190048865974
540,3694,5.37284186006827189e-02,83.19528392888606
560,3885,5.37277802148254102e-02,86.55036883801222
580,4080,5.37242682980430472e-02,89.82774849794805
600,4268,5.37205080231388729e-02,93.12753865495324
620,4448,5.37193037148322519e-02,96.3603297509253
640,4640,5.37170277507692667e-02,100.03755248524249
660,4817,5.37134380341531964e-02,103.22487994097173
680,4979,5.37107717523668607e-02,106.64810841158032
700,5154,5.37077312112106825e-02,110.44033174589276
720,5341,5.37044279399654795e-02,113.68331446498632
740,5538,5.37020916748323709e-02,117.08773482777178
760,5727,5.36980754211038649e-02,120.43086008541286
780,5898,5.36942921596025788e-02,123.73396640829742
800,6045,5.36940861806582403e-02,126.9470723066479
820,6184,5.36939273904745232e-02,130.1291846074164
840,6338,5.36938693690433150e-02,133.18682950548828
860,6499,5.36935785699978602e-02,136.42432380653918
880,6674,5.36895956570295901e-02,139.7137620653957
900,6829,5.36754545198196292e-02,142.92647140659392
920,7010,5.36709523706629735e-02,146.05143461935222
940,7210,5.36669007870976197e-02,149.29356538690627
960,7382,5.36162485182994988e-02,152.36551719531417
980,7534,5.35660837725815409e-02,155.45185085758567
1000,7711,5.35606819899933709e-02,158.53090342506766
1020,7903,5.35605202821756513e-02,161.73489399813116
1040,8081,5.35604954513964338e-02,165.0817747041583
1060,8239,5.35604845877772698e-02,168.16293959505856
1080,8396,5.35604827110347584e-02,171.41796120256186
1100,8548,5.35604817690177384e-02,174.54817321524024
1120,8721,5.35604813747139683e-02,177.78804402798414
1140,8911,5.35604811582413576e-02,181.0963429454714
1160,9091,5.35604809761391493e-02,184.43273930437863
1180,9290,5.35604809761391493e-02,187.8411114681512
1200,9488,5.35604809761391493e-02,191.22382848709822
1220,9688,5.35604808955802494e-02,194.4533863980323
1240,9888,5.35604808955802494e-02,197.71986816078424
1260,10088,5.35604808955802494e-02,201.5520756561309
1280,10288,5.35604808955802494e-02,204.95673682168126
1300,10488,5.35604808896269699e-02,208.31872149929404
1320,10687,5.35604808687567546e-02,211.61018752120435
1340,10879,5.35604807778580633e-02,215.00775218382478
1360,11074,5.35604807778580633e-02,218.34747162088752
1380,11268,5.35604807778580633e-02,221.76697709783912
1400,11456,5.35604807778580633e-02,225.11249342747033
1420,11655,5.35604807778580633e-02,228.46383087150753
1440,11836,5.35604806773564424e-02,231.77486740797758
1460,12032,5.35604806773564424e-02,235.20454536750913
1480,12232,5.35604806256421706e-02,238.59608791023493
1500,12432,5.35604806256421706e-02,242.03002881258726
1520,12631,5.35604806256421706e-02,245.56112999655306
1540,12831,5.35604806256421706e-02,249.0409019496292
1560,13031,5.35604806256421706e-02,252.43186242505908
1580,13231,5.35604806256421706e-02,255.90879630669951
1600,13431,5.35604806256421706e-02,259.2828879877925
1620,13630,5.35604805125121167e-02,262.62767316773534
1640,13830,5.35604805125121167e-02,265.94995180889964
1660,14030,5.35604805125121167e-02,269.205108737573
1680,14230,5.35604805125121167e-02,272.58309305272996
1700,14430,5.35604805125121167e-02,275.8244261909276
1720,14630,5.35604805125121167e-02,279.18392301537097
1740,14830,5.35604805125121167e-02,282.39922327175736
1760,15030,5.35604805125121167e-02,285.99957624077797
1780,15230,5.35604805125121167e-02,289.4901244416833
1800,15430,5.35604805125121167e-02,292.9536329507828
1806,15480,5.35604805125121167e-02,293.8939136117697
