"Iter.","Eval.","Best","Time m:s"
0,6,7.35926241378102863e-02,0.18045813590288162
1,12,6.56996564677621714e-02,0.3937700055539608
2,20,6.50071959354809048e-02,0.5331864692270756
3,26,6.50071959354809048e-02,0.6689745374023914
20,148,4.91233532006375498e-02,3.234625805169344
40,300,4.73615772516541994e-02,6.2953796070069075
60,445,4.69727744843830008e-02,9.496513215824962
80,588,4.68892460916668918e-02,12.70708093419671
100,736,4.65463545060937900e-02,15.828844914212823
120,901,4.23106682091997852e-02,19.07291078940034
140,1084,3.70978958817997362e-02,22.32187784090638
160,1259,3.22213106169895666e-02,25.631558975204825
180,1454,3.01242964869514115e-02,28.8617431987077
200,1654,2.41280326777186041e-02,32.06563678570092
220,1854,1.59185951938648589e-02,35.282731868326664
240,2054,1.22827709358880079e-02,38.53380270674825
260,2254,9.71003513203302741e-03,41.76486162096262
280,2454,9.30855098170343780e-03,44.96228253468871
300,2654,8.89180416239608584e-03,48.286775041371584
320,2854,7.31905389584836061e-03,51.50170787982643
340,3054,6.49976198902628421e-03,54.71554530598223
360,3254,6.14952921795199319e-03,58.21736170724034
380,3454,6.01597594564022304e-03,61.5715586040169
400,3654,5.96956024533345977e-03,64.76448558270931
420,3854,5.89769603289999958e-03,67.9450224917382
440,4054,5.86806850615307577e-03,71.1597149670124
460,4254,5.84882837989314161e-03,74.38640395738184
480,4454,5.84443841454685212e-03,77.63980826176703
500,4654,5.84423425787493518e-03,81.09051646105945
520,4854,5.84422478463951858e-03,84.39326323382556
540,5054,5.84422428039963783e-03,88.19280290231109
560,5254,5.84422427710368491e-03,91.47391386143863
580,5454,5.84422423048327686e-03,94.74383765086532
600,5654,5.84422423048327686e-03,97.93181636556983
620,5854,5.84422423048327686e-03,101.14317250810564
640,6054,5.84422423048327686e-03,104.34825453162193
660,6254,5.84422423048327686e-03,107.52591896988451
680,6454,5.84422423048327686e-03,110.71804888918996
700,6654,5.84422423048327686e-03,113.95466222800314
720,6854,5.84422423048327686e-03,117.119210107252
740,7054,5.84422423048327686e-03,120.27641302905977
760,7254,5.84422423048327686e-03,123.3505954016
778,7424,5.84422423048327686e-03,126.1180253252387
