"Iter.","Eval.","Best","Time m:s"
0,10,7.19140270768418577e-02,0.24082382395863533
1,17,7.19140270768418577e-02,0.41099719516932964
2,26,7.19131100951199698e-02,0.5603108368813992
3,32,7.19131100951199698e-02,0.7148951906710863
20,139,6.54472390110969332e-02,3.1059562489390373
40,267,6.45817006676093902e-02,5.906655926257372
60,452,6.42652714674151748e-02,8.961610857397318
80,628,6.40672392657514328e-02,12.059360302984715
100,821,6.37640124240542033e-02,15.027766440063715
120,1017,5.86474887716008572e-02,18.033131670206785
140,1217,5.86139948276698589e-02,21.226907016709447
160,1417,5.86029747139264270e-02,24.210208535194397
180,1617,5.85704887630532148e-02,27.255521656945348
200,1817,5.84804187282044544e-02,30.312689190730453
220,2005,5.37839920422260240e-02,33.31135058961809
240,2203,4.66919934810525947e-02,36.40027740970254
260,2403,3.85311406863378322e-02,39.49431459605694
280,2603,3.43063274084674241e-02,42.53307227790356
300,2803,3.27642708804654001e-02,45.63380949944258
320,3003,3.26712761143936811e-02,48.82780588790774
340,3203,3.25565275923675179e-02,52.22279321216047
360,3403,3.25084546320711515e-02,55.61803413182497
380,3603,3.24672465297458634e-02,58.908693108707666
400,3803,3.24340215568315257e-02,62.06637999974191
420,4003,3.24056713029360413e-02,65.28008867427707
440,4203,3.23778299711998258e-02,68.39443229883909
460,4382,3.23668350170579489e-02,71.53783998638391
480,4538,3.23661828523697306e-02,74.47411313094199
500,4686,3.23660137238221540e-02,77.47592367045581
520,4821,3.23660034191468188e-02,80.42790217883885
540,4961,3.23660012192211466e-02,83.4584990888834
560,5114,3.23660008589633300e-02,86.87681786715984
580,5277,3.23659973984496488e-02,89.98873181268573
600,5431,3.23659931607248944e-02,93.14142366871238
620,5608,3.23659924092103909e-02,96.38837038353086
640,5794,3.23659917310271106e-02,99.70420874096453
660,5981,3.23659906861255425e-02,102.9588768593967
680,6169,3.23659906861255425e-02,106.15175157785416
700,6350,3.23659906861255425e-02,109.31025974266231
720,6543,3.23659906651818235e-02,112.54440187290311
740,6743,3.23659906651818235e-02,115.72008493542671
760,6943,3.23659906651818235e-02,118.9735240265727
780,7143,3.23659905079343238e-02,122.23624003492296
800,7343,3.23659905079343238e-02,125.57794818468392
820,7543,3.23659904763553413e-02,128.75752160698175
840,7743,3.23659904763553413e-02,131.90908546186984
860,7943,3.23659904763553413e-02,135.33439137414098
880,8143,3.23659904763553413e-02,138.60772377438843
900,8343,3.23659904763553413e-02,141.98507631011307
920,8543,3.23659904763553413e-02,145.50421323627234
940,8743,3.23659904763553413e-02,148.84135107509792
960,8943,3.23659904763553413e-02,152.3951282352209
980,9143,3.23659904763553413e-02,155.66664724610746
1000,9343,3.23659904763553413e-02,158.98218300566077
1007,9403,3.23659904763553413e-02,160.13039391487837
