"Iter.","Eval.","Best","Time m:s"
0,10,1.67813643427659764e+00,0.5769213130697608
1,11,1.61601817516019652e+00,0.6333243099506944
2,12,1.61601817516019652e+00,0.6900379629805684
3,13,1.52322618201540494e+00,0.7464103240054101
20,30,6.52264048921268880e-01,1.7220641491003335
40,50,1.90725809457791301e-01,2.861396604916081
60,78,7.02582710314387793e-02,4.288980067940429
80,122,6.98001128460531972e-02,6.669183579040691
100,142,6.98001128460531972e-02,7.54484408791177
120,162,6.98001128460531972e-02,8.421180458040908
140,182,6.98001128460531972e-02,9.361147727118805
160,202,6.98001128460531972e-02,10.343958232086152
180,222,6.98001128460531972e-02,11.22631796495989
200,242,6.98001128460531972e-02,12.109826907981187
220,262,6.98001128460531972e-02,12.990298728924245
240,282,6.98001128460531972e-02,13.962683794088662
260,302,6.98001128460531972e-02,14.84229767206125
265,306,6.98001128460531972e-02,15.100252882111818
