"Iter.","Eval.","Best","Time m:s"
0,10,7.18742463221185568e-02,0.2546720802783966
1,20,7.18720347581013469e-02,0.4419616777449846
2,30,7.18689806801780934e-02,0.5855719782412052
3,40,7.18666869311082174e-02,0.7810561489313841
20,210,7.15721154914566310e-02,3.6441198475658894
40,410,6.98208045205640782e-02,7.097950613126159
60,608,6.95640177442637120e-02,10.211535526439548
80,772,6.70003088775566746e-02,13.342228669673204
100,955,6.67076225737097267e-02,16.83532500639558
120,1124,6.66697240633744304e-02,19.980827767401934
140,1321,6.65837124820314319e-02,23.17522255703807
160,1511,6.65427895178141299e-02,26.318277709186077
180,1709,6.65109408791322160e-02,29.379038469865918
200,1909,6.64677602707468146e-02,32.525319166481495
220,2109,6.63840197081697336e-02,35.85074857994914
240,2309,6.60863148276869955e-02,39.10951684229076
260,2509,6.58185675982343177e-02,42.236086977645755
280,2709,6.55689268963639549e-02,45.36235305480659
300,2906,6.53550003060841683e-02,48.529741782695055
320,3106,6.52155907670489976e-02,51.739430006593466
340,3306,6.50779931536759892e-02,54.96993752755225
360,3506,6.50695202643653964e-02,58.099564312025905
380,3706,6.49951924955861210e-02,61.228756960481405
400,3906,6.47827238767386404e-02,64.38298355787992
420,4075,6.44776640077144303e-02,67.49822712689638
440,4230,6.43625884916044638e-02,70.7086389400065
460,4376,6.05966836165023406e-02,73.87273857370019
480,4514,6.02488477698183839e-02,76.93496880680323
500,4650,6.00333818486355128e-02,79.94712279364467
520,4785,5.94401317919896963e-02,83.06103737838566
540,4925,5.91682260910927141e-02,86.15122662112117
560,5062,5.91682260910927141e-02,89.83718524686992
580,5197,5.90727788578784205e-02,92.93307798728347
600,5336,5.90474753906883171e-02,96.02860471606255
620,5489,5.89654434004726127e-02,99.16643849946558
640,5635,5.88647471089839142e-02,102.42151492461562
660,5778,5.87940384593030468e-02,105.54119632393122
680,5969,5.80212520433146042e-02,108.80118659883738
700,6123,2.49126900684241322e-02,111.78912903182209
720,6286,2.17442440538651166e-02,115.10598693974316
740,6460,2.12611242856436920e-02,118.51910730265081
760,6630,2.02029719195164978e-02,121.66011624969542
780,6787,1.91086467932286563e-02,124.80111950449646
800,6953,1.82134048607042916e-02,127.96876062639058
820,7144,1.61862999210074104e-02,131.24458396621048
840,7344,1.56612943657671935e-02,134.45249733701348
860,7544,1.51679222757203080e-02,137.67876758612692
880,7744,1.44541756980031220e-02,140.97602267377079
900,7944,1.40131213854523522e-02,144.21978055499494
920,8144,1.37671398253470054e-02,147.45496287569404
940,8344,1.34407456219375280e-02,150.76065686903894
960,8544,1.31475637427950730e-02,154.02100656181574
980,8744,1.28503765694738988e-02,157.2681069597602
1000,8944,1.26740274524642944e-02,160.44849247857928
1020,9144,1.21966446928623278e-02,163.65239887870848
1040,9344,1.09595323851619606e-02,166.95297064073384
1060,9544,9.72423499700473225e-03,170.150826189667
1080,9744,7.98148360054956943e-03,173.42616493999958
1100,9944,6.79853793820594382e-03,176.86307929828763
1120,10144,6.46386249666917184e-03,180.84596878290176
1140,10344,6.36344271122114055e-03,184.2799439188093
1160,10544,6.33961835489407766e-03,187.87690755166113
1180,10744,6.29763244571125268e-03,191.23847459629178
1200,10944,6.26813754506674783e-03,194.5327391065657
1220,11144,6.25993193871363096e-03,197.8809457551688
1240,11344,6.22064704296153032e-03,201.26407772675157
1260,11544,6.13194391422790426e-03,204.62473271600902
1280,11744,6.02540987822037556e-03,207.90580022148788
1300,11944,5.97430109850978844e-03,211.11804175376892
1320,12144,5.93445649096292511e-03,214.42322540469468
1340,12344,5.90464938162775944e-03,217.70919796451926
1360,12544,5.88240522960574528e-03,221.05829698219895
1380,12744,5.86513839465554500e-03,224.42474508844316
1400,12944,5.85293494822746677e-03,227.71430530026555
1420,13144,5.84596618641976609e-03,230.96268039941788
1440,13344,5.84447406753793586e-03,234.24546818435192
1460,13544,5.84423747949941539e-03,237.47993870824575
1480,13744,5.84422502460549276e-03,240.73795060440898
1500,13944,5.84422439366600720e-03,244.1168754734099
1520,14144,5.84422423212418562e-03,247.44340194761753
1540,14344,5.84422423212418562e-03,250.7114961706102
1560,14544,5.84422423212418562e-03,254.0264946501702
1580,14744,5.84422423212418562e-03,257.2771113086492
1600,14944,5.84422423212418562e-03,260.5117684248835
1620,15144,5.84422423212418562e-03,264.2178955245763
1640,15344,5.84422419623804867e-03,267.4998534936458
1660,15544,5.84422419623804867e-03,270.61566442623734
1680,15744,5.84422419623804867e-03,273.8019874263555
1700,15944,5.84422419623804867e-03,276.9284385498613
1720,16144,5.84422419623804867e-03,280.0704218503088
1740,16344,5.84422419623804867e-03,283.0922225546092
1760,16544,5.84422419623804867e-03,286.1772010233253
1780,16744,5.84422416353946265e-03,289.35344055108726
1800,16944,5.84422416353946265e-03,292.51698296144605
1820,17144,5.84422416353946265e-03,295.6474840324372
1840,17344,5.84422416353946265e-03,298.8217325042933
1860,17544,5.84422416353946265e-03,301.9914305396378
1880,17744,5.84422416353946265e-03,305.29293908923864
1900,17944,5.84422416353946265e-03,308.47939690575004
1920,18144,5.84422416353946265e-03,311.68345142155886
1940,18344,5.84422416353946265e-03,314.8770813085139
1960,18544,5.84422416353946265e-03,318.1074689235538
1975,18684,5.84422416353946265e-03,320.33656729385257
