"Iter.","Eval.","Best","Time m:s"
0,10,4.26881238640590333e+00,0.3134610280394554
1,20,4.22961008426210139e+00,0.493726072832942
2,30,4.19585026469062594e+00,0.6661665495485067
3,40,4.18006050520079508e+00,0.835522448644042
20,172,3.27562170047377332e+00,3.5752799101173878
40,296,2.94309577977217129e+00,7.23960329964757
60,431,2.83936752794497504e+00,10.729869980365038
80,537,2.76777244714248605e+00,14.18577229604125
100,658,2.63413425741718132e+00,17.806369261816144
120,777,2.24357431429415444e+00,21.526889892295003
140,908,4.78595535118838900e-01,25.17559865862131
160,1024,3.25267660689855131e-01,28.51983678713441
180,1138,3.21116222334742074e-01,31.963194970041513
200,1276,3.02829368944766308e-01,35.807639913633466
220,1407,2.97613527681147960e-01,39.50776241719723
240,1531,2.93079965978336021e-01,43.01301666907966
260,1660,2.91245933286622460e-01,46.53701130487025
280,1781,2.89828851235726603e-01,50.25405810773373
300,1892,2.89178461607613124e-01,53.45555995777249
320,2015,2.88026939377526769e-01,56.74590111896396
340,2143,2.87139320105721352e-01,60.30278501473367
360,2259,2.84452644843987745e-01,63.892184633761644
380,2358,2.84005242979117445e-01,67.224386068061
400,2470,2.83862568342121258e-01,70.84490963816643
420,2586,2.83759667712759123e-01,74.30052550695837
440,2710,2.83708169696365364e-01,77.84467186965048
460,2826,2.83689875773722566e-01,81.34760969877243
480,2941,2.83680990114673626e-01,84.92710004374385
500,3064,2.83678128560539144e-01,88.55195423215628
520,3178,2.83675852958725438e-01,92.07824766635895
540,3284,2.83674932809281521e-01,95.6209495421499
560,3418,2.83674623224074274e-01,99.4889759439975
580,3525,2.83674421695887025e-01,103.25686276517808
600,3632,2.83674355713193660e-01,106.9859358817339
620,3763,2.83674348852661073e-01,110.66910786367953
640,3886,2.83674329579343409e-01,114.26249881274998
660,3993,2.83674322024018266e-01,117.87120573595166
680,4113,2.83674297256120367e-01,121.28513935953379
700,4229,2.83674260397372424e-01,124.9100313168019
720,4360,2.83673869309097271e-01,128.43979748897254
740,4518,2.83656718686823905e-01,132.13309894874692
760,4685,2.82782828015607168e-01,135.780829930678
780,4850,2.29312819175447130e-01,139.45690628141165
800,4982,2.03832568847069157e-01,143.09338179789484
820,5102,1.89785221830186923e-01,147.07357705757022
840,5242,1.62531740676752939e-01,150.80419338680804
860,5349,1.32501680556521395e-01,154.36145022325218
880,5440,1.13443494827899491e-01,157.9217365514487
900,5531,6.72323976628961262e-02,161.26216853037477
920,5662,6.30646056783309150e-02,164.6190765798092
940,5822,6.29199711700726971e-02,168.33619500510395
960,5983,6.17239147947040503e-02,171.8320344388485
980,6149,6.09838875769317737e-02,175.5292667094618
1000,6328,5.91228595564232892e-02,179.41469033621252
1020,6477,5.61014546654813942e-02,183.0849862191826
1040,6673,5.60367733510804544e-02,186.54283059947193
1060,6869,5.60306474955695188e-02,190.10857729427516
1080,7069,5.60275956121789875e-02,193.82634419575334
1100,7269,5.60274431989469107e-02,197.30211143568158
1120,7469,5.60274048513191986e-02,200.86367364041507
1140,7669,5.60269577700531832e-02,204.48003840446472
1160,7813,5.60265665678665661e-02,207.9132475629449
1180,7963,5.60265126908206651e-02,211.44998946599662
1200,8116,5.60264578306244043e-02,214.95922565832734
1220,8261,5.60264108231444055e-02,218.63131727091968
1240,8414,5.60261938066427059e-02,222.23177186213434
1260,8603,5.60228360571085188e-02,225.82260704040527
1280,8789,5.60013841733887630e-02,229.36975646950305
1300,8989,5.59850991884488849e-02,233.07918288744986
1320,9189,5.59595653114720176e-02,236.5597590841353
1340,9389,5.59489063258809191e-02,239.93728069216013
1360,9589,5.59487633536397688e-02,243.30764674395323
1380,9789,5.59487502595796132e-02,246.93699368275702
1400,9989,5.59486915246779487e-02,250.74400649778545
1420,10189,5.59486894492529988e-02,254.21223194897175
1440,10389,5.59486893645314981e-02,257.67676715552807
1460,10589,5.59486892581277095e-02,261.3150897137821
1480,10789,5.59486892581277095e-02,264.7510717306286
1500,10989,5.59486892570545125e-02,268.2311683371663
1520,11189,5.59486892570545125e-02,271.8147240653634
1540,11389,5.59486892483392270e-02,275.37490750290453
1560,11589,5.59486892483392270e-02,278.96322210133076
1580,11789,5.59486892091727167e-02,282.51694965548813
1600,11989,5.59486892091727167e-02,286.0483813676983
1620,12189,5.59486892091727167e-02,289.53986093588173
1640,12389,5.59486892091727167e-02,292.90138002857566
1660,12589,5.59486892091727167e-02,296.55571863241494
1680,12789,5.59486892091727167e-02,300.1084404475987
1700,12989,5.59486892091727167e-02,303.68396182730794
1720,13189,5.59486892091727167e-02,307.1399278771132
1740,13389,5.59486892091727167e-02,310.54719552770257
1760,13589,5.59486892091727167e-02,313.5015100762248
1764,13619,5.59486892091727167e-02,314.0201424341649
