"Iter.","Eval.","Best","Time m:s"
0,10,2.78720089746820499e+00,0.3465889161452651
1,20,2.78257534770271953e+00,0.6550145670771599
2,30,2.77993860109830093e+00,0.9215907279867679
3,40,2.77638997360877937e+00,1.1314661579672247
20,189,1.86661914597537071e+00,5.546036326093599
40,287,4.03586424653971987e-01,10.096227201167494
60,400,2.39258312524966460e-01,15.051379885990173
80,529,2.21435418743352125e-01,19.81362043018453
100,637,2.06036925551958905e-01,24.525402409024537
120,773,2.04639236925010765e-01,29.4609617900569
140,889,2.04108489811750282e-01,34.433990427991375
160,1015,2.02240496634741918e-01,39.58536392496899
180,1137,2.01703768999717314e-01,44.349734760122374
200,1256,2.01046087026711423e-01,49.10919910413213
220,1394,2.00088367737378925e-01,53.985221558017656
240,1543,1.71701679031929316e-01,59.27361589903012
260,1645,1.34669996855013324e-01,63.975215959129855
280,1780,1.31579683187182356e-01,69.09976415615529
300,1904,1.28291293172876020e-01,74.1528292261064
320,2031,1.26772022762020653e-01,78.87639374705032
340,2166,1.22966044407768552e-01,83.98562942398712
360,2292,1.21334473390385805e-01,89.0964590429794
380,2403,1.20485527998184697e-01,94.07389957411215
400,2531,1.20087337385077542e-01,99.34221261716448
420,2640,1.19985684351584632e-01,104.58510765410028
440,2767,1.19905133201832451e-01,109.6736375731416
460,2875,1.19836684960967124e-01,113.9795455201529
480,2983,1.19554689430889358e-01,118.83013194403611
500,3126,1.12133988878565460e-01,123.90724477614276
520,3258,6.35753645755745833e-02,128.81726424512453
540,3426,5.18309572148459505e-02,133.89200342004187
560,3598,4.76969003760228383e-02,139.27174392016605
580,3764,4.47855116327683031e-02,144.4396698710043
600,3953,4.27482750361139544e-02,149.80787961697206
620,4132,3.96519624733040824e-02,155.28599215019494
640,4323,3.56627713103670196e-02,160.81041304999962
660,4522,3.47038399692642385e-02,166.2632831200026
680,4701,3.44695733876903346e-02,171.82018623501062
700,4859,3.41004396078392197e-02,177.11051412508823
720,5002,3.25782657907338069e-02,182.43544251704589
740,5126,2.84978395027629151e-02,187.647070719162
760,5284,1.53112109367100312e-02,193.04069588705897
780,5467,1.08695190800729927e-02,198.4374012311455
800,5661,8.67012243926913728e-03,203.93017649417743
820,5861,8.47111987198423573e-03,209.47034773603082
840,6061,8.25232642693965110e-03,214.80652306810953
860,6261,7.53181575490978385e-03,220.23925749608316
880,6461,5.37224926017587211e-03,225.57779788714834
900,6661,4.69184041421748504e-03,231.07028430118226
920,6861,4.54151053215585705e-03,236.50234475103207
940,7061,4.50831193222416948e-03,241.70533487806097
960,7261,4.47437582659670954e-03,247.01929521304555
980,7461,4.42628410087388124e-03,252.3591616100166
1000,7661,4.40118437912049697e-03,257.84149782103486
1020,7861,4.39824862618381357e-03,263.36500646197237
1040,8061,4.39753829195816976e-03,268.935814299155
1060,8261,4.39748755252816498e-03,274.33717533713207
1080,8461,4.39748622838229044e-03,279.82492322218604
1100,8661,4.39748600810767158e-03,285.0986684910022
1120,8861,4.39748600810767158e-03,290.4574223170057
1140,9061,4.39748595520098040e-03,295.8525917620864
1160,9261,4.39748583011320259e-03,301.2620471760165
1180,9461,4.39748583011320259e-03,306.62225793814287
1200,9661,4.39748583011320259e-03,311.9377617891878
1220,9861,4.39748581376095751e-03,317.0311781100463
1240,10061,4.39748579809522491e-03,322.64966495800763
1260,10261,4.39748579809522491e-03,328.1698956701439
1280,10461,4.39748579809522491e-03,333.44573795609176
1300,10661,4.39748579809522491e-03,338.80323093314655
1320,10861,4.39748579809522491e-03,344.1245072640013
1340,11061,4.39748579809522491e-03,349.2906337471213
1360,11261,4.39748579809522491e-03,354.51186567614786
1380,11461,4.39748571129275258e-03,359.9356229621917
1400,11661,4.39748571129275258e-03,364.9227957020048
1420,11861,4.39748571129275258e-03,370.0310504361987
1440,12061,4.39748571129275258e-03,374.99759776401334
1460,12261,4.39748571129275258e-03,380.1294299850706
1480,12461,4.39748571129275258e-03,385.10160537902266
1500,12661,4.39748571129275258e-03,390.083636729978
1520,12861,4.39748571129275258e-03,395.0678377151489
1540,13061,4.39748571129275258e-03,400.3267243860755
1560,13261,4.39748571129275258e-03,405.5273643641267
1579,13441,4.39748571129275258e-03,410.36138997017406
